acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.602236,-0.489930,-0.507847,0.005731,-0.122559,0.216094,4.000000,5.000000,3.000000
0.638118,-0.432518,-0.502545,-0.017851,-0.057670,0.053998,4.000000,5.000000,3.000000
0.654119,-0.492825,-0.521345,0.083553,-0.051561,-0.027553,4.000000,5.000000,3.000000
0.686607,-0.543964,-0.510257,0.173688,-0.003776,-0.047998,4.000000,5.000000,3.000000
0.682243,-0.610060,-0.500375,-0.053088,-0.027586,-0.065119,4.000000,5.000000,3.000000
0.659453,-0.520083,-0.520140,-0.062853,0.006762,-0.020112,4.000000,5.000000,3.000000
0.668666,-0.505127,-0.508329,0.032517,0.016362,0.045220,4.000000,5.000000,3.000000
0.677394,-0.528767,-0.509775,-0.018437,0.037656,0.025480,4.000000,5.000000,3.000000
0.666484,-0.525631,-0.518452,-0.046848,0.034679,0.035373,4.000000,5.000000,3.000000
0.687819,-0.512123,-0.522550,0.007023,0.004728,0.029563,4.000000,5.000000,3.000000
0.656301,-0.517430,-0.484708,0.006506,-0.000588,-0.020915,4.000000,5.000000,3.000000
0.681273,-0.524184,-0.505196,-0.033621,0.002991,-0.018548,4.000000,5.000000,3.000000
0.705033,-0.487035,-0.511222,-0.003060,-0.017764,0.006226,4.000000,5.000000,3.000000
0.679818,-0.443132,-0.499411,0.144599,0.067200,0.032938,4.000000,5.000000,3.000000
0.688304,-0.569293,-0.502786,0.012986,-0.076427,-0.030640,4.000000,5.000000,3.000000
0.645633,-0.531421,-0.502786,-0.064067,-0.094532,-0.035135,4.000000,5.000000,3.000000
0.702608,-0.555543,-0.515801,0.008142,0.001285,-0.063420,4.000000,5.000000,3.000000
0.688061,-0.542517,-0.513150,0.088195,-0.038054,0.002010,4.000000,5.000000,3.000000
0.652422,-0.522736,-0.447590,-0.037129,-0.090379,-0.010188,4.000000,5.000000,3.000000
0.663090,-0.541793,-0.366604,0.079241,0.037292,0.042957,4.000000,5.000000,3.000000
0.734611,-0.599446,-0.481816,-0.247134,0.126505,-0.018617,4.000000,5.000000,3.000000
0.721519,-0.464119,-0.534842,-0.391604,0.080690,0.159451,4.000000,5.000000,3.000000
0.703578,-0.319383,-0.802866,0.015538,-0.063780,0.004596,4.000000,5.000000,3.000000
0.786979,-0.471838,-0.755625,0.769651,-0.539949,0.006124,4.000000,5.000000,3.000000
0.851228,-0.684117,-0.686208,-0.045854,-1.414097,-0.304501,4.000000,5.000000,3.000000
0.523683,-0.434689,-0.101473,0.240642,-1.570784,0.154869,4.000000,5.000000,3.000000
0.588901,-0.660718,-0.114730,0.128243,-0.809035,-0.028085,4.000000,5.000000,3.000000
0.690244,-0.529008,-0.188484,-0.283786,-0.172208,0.005513,4.000000,5.000000,3.000000
0.788192,-0.456882,-0.413123,0.014927,0.106957,-0.040913,4.000000,5.000000,3.000000
0.717398,-0.501509,-0.304419,0.214680,0.084050,-0.024725,4.000000,5.000000,3.000000
0.823346,-0.612231,-0.367810,-0.065707,0.127726,0.014370,4.000000,5.000000,3.000000
0.807587,-0.455917,-0.374076,-0.210788,0.033653,0.024144,4.000000,5.000000,3.000000
0.727580,-0.412014,-0.260793,-0.006148,0.008302,-0.070235,4.000000,5.000000,3.000000
0.749643,-0.679533,-0.488083,0.260695,0.222247,0.003396,4.000000,5.000000,3.000000
0.592295,-0.554337,0.004630,-0.625670,0.352361,0.137481,4.000000,5.000000,3.000000
0.687092,-0.184055,-0.021693,0.557881,1.334022,0.096858,4.000000,5.000000,3.000000
0.608297,-1.045473,-0.397215,0.863314,2.307741,0.930384,4.000000,5.000000,3.000000
0.379913,-0.503438,0.068235,-3.741694,2.035601,-1.445577,4.000000,5.000000,3.000000
0.781403,-0.332892,-0.537976,-1.129634,2.809872,-0.327388,4.000000,5.000000,3.000000
-0.119715,-0.393681,-1.566445,2.175452,3.381337,0.155196,4.000000,5.000000,3.000000
0.229596,-0.667472,-2.102251,0.984876,0.972084,0.341815,4.000000,5.000000,3.000000
0.408036,-0.466048,-1.226835,-0.606122,-1.238332,-0.452004,4.000000,5.000000,3.000000
0.537988,-0.416115,-0.623300,0.768324,-1.657385,-0.164287,4.000000,5.000000,3.000000
0.658241,-0.767822,-0.391189,1.498308,-1.494284,0.016835,4.000000,5.000000,3.000000
0.431069,-0.611990,-0.138350,-0.040461,-0.700159,0.288670,4.000000,5.000000,3.000000
0.570960,-0.435413,-0.495073,-0.977529,-0.044090,-0.011876,4.000000,5.000000,3.000000
0.563929,-0.232059,-0.772256,-0.556337,-0.022099,-0.060440,4.000000,5.000000,3.000000
0.738248,-0.364734,-1.164891,0.841628,-0.492465,-0.037532,4.000000,5.000000,3.000000
0.692183,-0.708480,-1.100537,-0.214252,-1.829649,-0.841431,4.000000,5.000000,3.000000
0.686122,-0.582078,-0.812025,0.077130,-2.960361,-0.639845,4.000000,5.000000,3.000000
0.436160,-0.567605,0.341907,1.127513,-2.626523,0.480176,4.000000,5.000000,3.000000
