acel_x,acel_y,acel_z,gyro_x,gyro_y,gyro_z,solo,nivel,user_id
0.923234,-0.243879,-0.525924,-0.005674,-0.088583,-0.038940,6.000000,4.000000,7.000000
0.909657,-0.124714,-0.495073,-0.119601,-0.219010,0.027641,6.000000,4.000000,7.000000
0.936569,-0.153420,-0.541109,-0.098832,-0.237641,0.000763,6.000000,4.000000,7.000000
0.908202,-0.263177,-0.524960,-0.149534,-0.326522,-0.051772,6.000000,4.000000,7.000000
0.869654,-0.146665,-0.548822,-0.235360,-0.390968,-0.130573,6.000000,4.000000,7.000000
0.817285,-0.256664,-0.505437,-0.305304,-0.315221,-0.305891,6.000000,4.000000,7.000000
0.786979,-0.155591,-0.527130,-0.356312,-0.128907,-0.457386,6.000000,4.000000,7.000000
0.728792,-0.098420,-0.462534,-0.260100,-0.139903,-0.528857,6.000000,4.000000,7.000000
0.695577,-0.171270,-0.419149,-0.041105,0.031750,-0.309557,6.000000,4.000000,7.000000
0.793768,-0.167411,-0.396974,-0.089974,0.187521,-0.142485,6.000000,4.000000,7.000000
0.842500,-0.193463,-0.399866,0.085955,0.178358,-0.032835,6.000000,4.000000,7.000000
0.845409,-0.302497,-0.412159,-0.024001,0.079703,0.033139,6.000000,4.000000,7.000000
0.789889,-0.226029,-0.415051,0.229506,0.158206,0.131185,6.000000,4.000000,7.000000
0.885655,-0.217345,-0.451447,0.288760,0.342382,0.178222,6.000000,4.000000,7.000000
0.869654,-0.241467,-0.414569,0.440560,0.299316,0.310474,6.000000,4.000000,7.000000
0.888564,-0.241467,-0.473380,0.398716,0.179587,0.255802,6.000000,4.000000,7.000000
0.906263,-0.247257,-0.509293,0.190411,0.092233,0.291538,6.000000,4.000000,7.000000
0.862865,-0.089736,-0.541350,0.418874,0.053748,0.282069,6.000000,4.000000,7.000000
0.783100,-0.399711,-0.449036,0.025477,0.055886,0.120190,6.000000,4.000000,7.000000
0.728307,-0.243156,-0.465908,0.179110,0.357959,0.243585,6.000000,4.000000,7.000000
0.640542,-0.362804,-0.382994,-0.227116,0.828325,0.315972,6.000000,4.000000,7.000000
0.696790,-0.180437,-0.442528,-0.239027,1.261124,0.658362,6.000000,4.000000,7.000000
0.945782,-0.020504,-0.706214,-0.192602,1.539678,0.713035,6.000000,4.000000,7.000000
0.878866,0.115084,-0.965320,-0.012091,0.999673,0.580477,6.000000,4.000000,7.000000
0.905293,0.160971,-0.986048,0.390164,0.315199,0.349875,6.000000,4.000000,7.000000
0.815346,-0.145218,-0.727183,0.301894,-0.389129,0.012983,6.000000,4.000000,7.000000
0.698487,0.009712,-0.724773,0.430786,-0.466098,0.006874,6.000000,4.000000,7.000000
